,jobId,employerId,employerName,employerProfileId,employerProfileName,jobTitle,locationName,minimumSalary,maximumSalary,currency,expirationDate,date,jobDescription,applications,jobUrl
74,41880461,624561,NHS Business Services Authority,,,Technical Lead and Senior Systems Developer,Brent,52606.0,62286.0,GBP,16/03/2021,28/01/2021," This Technical Lead and Senior Systems Developer post is a critical IT resource required to help provide expert technical knowledge throughout the design, piloting, implementation and maintenance of specialist systems for surveillance purposes. S/he will  take the lead on overseeing software development during the lifecycle of the development and deployment of the several systems. This is a great opportunity for exceptional C#, ASP .N... ",1,https://www.reed.co.uk/jobs/technical-lead-and-senior-systems-developer/41880461
75,41850847,624561,NHS Business Services Authority,,,Software Developer,Leicester,45753.0,51668.0,GBP,16/03/2021,26/01/2021," An opportunity to join a fast paced software development team to deliver enhancements and new functionality to an established application supporting GP Practices across England Experience of working on large scale, highly complex, tight deadline projects. Developing applications to meet stringent customer requirements using Java/Java EE .Net and PL/SQL Experience of real time report development. Experience develop... ",5,https://www.reed.co.uk/jobs/software-developer/41850847
96,41880300,624561,NHS Business Services Authority,,,Computer Scientist,Guildford,40681.0,46294.0,GBP,16/03/2021,28/01/2021,"Computer Scientist The Department of Medical Physics at the Royal Surrey NHS Foundation Trust, Guildford provides medical physics services to the hospital, especially to St Luke’s Cancer Centre, and to a number of surrounding hospitals. The work of the Department covers six  main areas: the National Coordinating Centre for the Physics of Mammography (NCCPM); Nuclear Medicine Physics and Radiopharmacy; Radiotherapy Physics; th... ",0,https://www.reed.co.uk/jobs/computer-scientist/41880300
73,41880010,624561,NHS Business Services Authority,,,"Business Intelligence Developer Business Objects, SSIS",Shipley,38890.0,44503.0,GBP,18/03/2021,28/01/2021," This is an exciting opportunity for an individual to join the Business Intelligence team as BI Developer (Business Objects/SSIS). The successful applicant will join an established team and be responsible for  Be a highly motivated, self-starting SAP Business Objects/BI expert,Specialise in all aspects of SAP Business Objects toolsets, administration, installation, configuration, and support.Production of underly... ",3,https://www.reed.co.uk/jobs/business-intelligence-developer-business-objects-ssis/41880010
10,41956810,538210,Jisc,,,Office 365 SharePoint Developer,Manchester,36000.0,36000.0,GBP,22/03/2021,08/02/2021," Salary: from &#163;36,000 per annum when working full time (max 35 hours per week)Contract: 6-month Fixed Term ContractLocation: Bristol, London, Manchester or HarwellWe believe in 'Technology for Good’ - in improving lives through education and research. Our passionate team of people want to make a social impact and challenge conventional thinking as they work on cut... ",0,https://www.reed.co.uk/jobs/office-365-sharepoint-developer/41956810
92,41955907,632436, The Royal College of Emergency Medicine,,,Senior Website Officer ,Holborn,35600.0,35600.0,GBP,22/02/2021,08/02/2021," As Senior Website Officer, you will project manage the redevelopment of the College’s website and take ownership of future content, modernising it in partnership with the commissioned design team. The website is a key communication channel for member engagement and the Senior Website Officer will work with senior management to review the existing site and to produce relevant, engaging and compelling content and copy that enhances the ... ",0,https://www.reed.co.uk/jobs/senior-website-officer/41955907
16,41888197,590917,Team ITG,,,Front End Developer,Birmingham,35000.0,45000.0,GBP,12/03/2021,29/01/2021," You are a visionary Front End Developer, commercially experienced with the desire and drive to produce the very best work possible - yet pragmatic enough to know that deadlines aren't just a suggestion, so you make sure things get done on time too. You are  a perfectionist, not one to shy away from contributing new ideas and opinions. Also, you work well within a busy and thriving development team to produce amazing work every time. <... ",2,https://www.reed.co.uk/jobs/front-end-developer/41888197
14,41847065,631895,Legal Innovation Lab Wales,,,Software Developer,Swansea,34804.0,40322.0,GBP,08/03/2021,25/01/2021," The Hillary Rodham Clinton School of Law, as part of the exciting Legal Innovation Lab Wales initiative, seeks to appoint a dynamic, enthusiastic developer who can turn their hand to anything that comes their way, who can embrace new challenges with enthusiasm  and a willingness to get stuck in. We know that the 'perfect candidate’ doesn’t really exist, we’re looking to find the right person to join our team. Use the points below to c... ",5,https://www.reed.co.uk/jobs/software-developer/41847065
95,41722504,558777,SGN,,,Estates Support Manager,Glasgow,34100.0,42700.0,GBP,11/02/2021,11/01/2021," Location: Southern (travel requirement across the South and Scotland, Company Car will be provided) The key responsibilities of this role are:  Support the Senior Estates Manager in delivering the estates management strategy and the teams allocated budgetSupport the development and delivery of the wider property team strategySupport the delivery and development of the SGN Place property d... ",9,https://www.reed.co.uk/jobs/estates-support-manager/41722504
76,41834460,624561,NHS Business Services Authority,,,Senior Information Developer Band 6,Doncaster,31365.0,37890.0,GBP,16/03/2021,23/01/2021," Senior Information Systems Developer Band 6 - full time fixed term post for 15 months Rotherham Doncaster and South Humber NHS Foundation Trust (RDaSH) has a strong record of providing excellent mental health, learning disability and Community services to local people by working with our partners and staff in a creative and innovative manner. RDaSH one of 23 Trusts nationally awarded central funding through the Digital Aspirant... ",1,https://www.reed.co.uk/jobs/senior-information-developer-band-6/41834460
